pack_id|prod_id|descr|pack|weight|volume|precision
1|61989|шт/1|1.0|0.0|0.0|
2|61989|кор/64|64.0|0.0|0.0|
1|61990|шт/1|1.0|0.0|0.0|
2|61990|кор/10|10.0|0.0|0.0|
1|61991|шт/1|1.0|0.0|0.0|
1|61992|шт/1|1.0|0.0|0.0|
1|61993|шт/1|1.0|0.0|0.0|
1|61994|шт/1|1.0|0.0|0.0|
1|61995|шт/1|1.0|0.0|0.0|
2|61995|кор/4|4.0|0.0|0.0|
1|61996|шт/1|1.0|0.0|0.0|
2|61996|кор/40|40.0|0.0|0.0|
1|61997|шт/1|1.0|0.0|0.0|
2|61997|кор/34|34.0|0.0|0.0|
1|61998|шт/1|1.0|0.0|0.0|
2|61998|кор/24|24.0|0.0|0.0|
1|61999|шт/1|1.0|0.0|0.0|
2|61999|кор/24|24.0|0.0|0.0|
1|620|шт/1|1.0|0.0|0.0|
2|620|кор/24|24.0|0.0|0.0|
1|62001|шт/1|1.0|0.0|0.0|
2|62001|кор/12|12.0|0.0|0.0|
1|62002|шт/1|1.0|0.0|0.0|
1|62003|шт/1|1.0|0.0|0.0|
1|62004|шт/1|1.0|0.0|0.0|
2|62004|кор/20|20.0|0.0|0.0|
1|62005|шт/1|1.0|0.0|0.0|
2|62005|кор/8|8.0|0.0|0.0|
1|62006|шт/1|1.0|0.0|0.0|
2|62006|кор/24|24.0|0.0|0.0|
1|62007|шт/1|1.0|0.0|0.0|
2|62007|кор/24|24.0|0.0|0.0|
1|62008|шт/1|1.0|0.0|0.0|
2|62008|кор/20|20.0|0.0|0.0|
1|62010|шт/1|1.0|0.0|0.0|
1|62011|шт/1|1.0|0.0|0.0|
1|62012|шт/1|1.0|0.0|0.0|
1|62013|шт/1|1.0|0.0|0.0|
2|62013|кор/16|16.0|0.0|0.0|
1|62014|шт/1|1.0|0.0|0.0|
1|62015|шт/1|1.0|0.0|0.0|
2|62015|кор/40|40.0|0.0|0.0|
1|62016|шт/1|1.0|0.0|0.0|
2|62016|кор/14|14.0|0.0|0.0|
1|62017|шт/1|1.0|0.0|0.0|
2|62017|кор/6|6.0|0.0|0.0|
1|62018|шт/1|1.0|0.0|0.0|
1|62019|шт/1|1.0|0.0|0.0|
